# space PC R/W bits address value region; hex values. ROM reads omitted unless --trace-all
A 00043e W16 a00000 0ae9 palette_registers
A 000440 W16 a00002 7b4e palette_registers
A 00043e W16 a00000 0ae8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ae7 palette_registers
A 000440 W16 a00002 29cc palette_registers
A 00043e W16 a00000 0ae6 palette_registers
A 000440 W16 a00002 4292 palette_registers
A 00043e W16 a00000 0ae5 palette_registers
A 000440 W16 a00002 4ad4 palette_registers
A 00043e W16 a00000 0ae4 palette_registers
A 000440 W16 a00002 4b16 palette_registers
A 00043e W16 a00000 0ae3 palette_registers
A 000440 W16 a00002 5b58 palette_registers
A 00043e W16 a00000 0ae2 palette_registers
A 000440 W16 a00002 6bdc palette_registers
A 00043e W16 a00000 0ae1 palette_registers
A 000440 W16 a00002 7bde palette_registers
A 00043e W16 a00000 0ae0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0adf palette_registers
A 000440 W16 a00002 0212 palette_registers
A 00043e W16 a00000 0ade palette_registers
A 000440 W16 a00002 0296 palette_registers
A 00043e W16 a00000 0add palette_registers
A 000440 W16 a00002 3b9e palette_registers
A 00043e W16 a00000 0adc palette_registers
A 000440 W16 a00002 398a palette_registers
A 00043e W16 a00000 0adb palette_registers
A 000440 W16 a00002 51cc palette_registers
A 00043e W16 a00000 0ada palette_registers
A 000440 W16 a00002 4a50 palette_registers
A 00043e W16 a00000 0ad9 palette_registers
A 000440 W16 a00002 7b4e palette_registers
A 00043e W16 a00000 0ad8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ad7 palette_registers
A 000440 W16 a00002 218e palette_registers
A 00043e W16 a00000 0ad6 palette_registers
A 000440 W16 a00002 29d0 palette_registers
A 00043e W16 a00000 0ad5 palette_registers
A 000440 W16 a00002 3212 palette_registers
A 00043e W16 a00000 0ad4 palette_registers
A 000440 W16 a00002 3a54 palette_registers
A 00043e W16 a00000 0ad3 palette_registers
A 000440 W16 a00002 5b5c palette_registers
A 00043e W16 a00000 0ad2 palette_registers
A 000440 W16 a00002 6bde palette_registers
A 00043e W16 a00000 0ad1 palette_registers
A 000440 W16 a00002 7bde palette_registers
A 00043e W16 a00000 0ad0 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0acf palette_registers
A 000440 W16 a00002 0212 palette_registers
A 00043e W16 a00000 0ace palette_registers
A 000440 W16 a00002 0296 palette_registers
A 00043e W16 a00000 0acd palette_registers
A 000440 W16 a00002 3b9e palette_registers
A 00043e W16 a00000 0acc palette_registers
A 000440 W16 a00002 3988 palette_registers
A 00043e W16 a00000 0acb palette_registers
A 000440 W16 a00002 5a0a palette_registers
A 00043e W16 a00000 0aca palette_registers
A 000440 W16 a00002 7248 palette_registers
A 00043e W16 a00000 0ac9 palette_registers
A 000440 W16 a00002 7b4e palette_registers
A 00043e W16 a00000 0ac8 palette_registers
A 000440 W16 a00002 0000 palette_registers
A 00043e W16 a00000 0ac7 palette_registers
A 000440 W16 a00002 39ca palette_registers
A 00043e W16 a00000 0ac6 palette_registers
A 000440 W16 a00002 420c palette_registers
A 00043e W16 a00000 0ac5 palette_registers
A 000440 W16 a00002 4a4e palette_registers
A 00043e W16 a00000 0ac4 palette_registers
A 000440 W16 a00002 5ad2 palette_registers
A 00043e W16 a00000 0ac3 palette_registers
A 000440 W16 a00002 7bd8 palette_registers
A 00043e W16 a00000 0ac2 palette_registers
A 000440 W16 a00002 7bdc palette_registers
A 00043e W16 a00000 0ac1 palette_registers
A 000440 W16 a00002 7bde palette_registers
